ticker,open,close,adj_close,lowThe,hghThe,volume,date
MKL,690,686.429992675781,686.429992675781,683.989990234375,692.159973144531,30900,2014-12-10
PGP,24.2099990844727,24.4899997711182,4.63584184646606,24.2099990844727,24.4899997711182,19800,2005-10-17
SPXX,19.2999992370605,19.4200000762939,7.37170362472534,19.2399997711182,19.4200000762939,79000,2006-10-03
AJG,4.28125,4.3125,0.571684539318085,4.21875,4.3125,28800,1988-09-13
HBAN,2.51432418823242,2.51432418823242,0.538015782833099,2.51432418823242,2.55001831054688,11000,1980-09-22
CMD,7.43111133575439,7.43111133575439,7.09286069869995,7.43111133575439,7.54074096679688,99100,2004-08-24
ANDV,1.5,1.5625,1.2967289686203,1.5,1.5625,20600,1992-10-19
KAMN,27.6700000762939,29.4300003051758,24.268684387207,27.6700000762939,29.8199996948242,241400,2008-08-08
ANDV,1.5625,1.5,1.24486029148102,1.5,1.5625,17400,1992-10-20
GCBC,9.00500011444092,9.00500011444092,3.85421085357666,9.00500011444092,9.00500011444092,200,2005-11-21
CMD,7.39259243011475,7.22962951660156,6.90055179595947,7.22962951660156,7.40740728378296,98500,2004-08-25
HBAN,2.51432418823242,2.51432418823242,0.538015782833099,2.51432418823242,2.55001831054688,25400,1980-09-23
AJG,4.28125,4.28125,0.567542254924774,4.28125,4.28125,7600,1988-09-14
SPXX,19.3700008392334,19.4300003051758,7.3755030632019,19.2399997711182,19.4300003051758,82600,2006-10-04
PGP,24.4500007629395,24.3500003814697,4.60934400558472,24.3500003814697,24.4899997711182,20800,2005-10-18
MKL,688.049987792969,690.530029296875,690.530029296875,687.450012207031,697.070007324219,29900,2014-12-11
PSEC,6.46999979019165,6.38000011444092,1.94729745388031,6.17999982833862,6.75,196100,2009-03-09
MKL,688.570007324219,679.669982910156,679.669982910156,679.669982910156,691.840026855469,27800,2014-12-12
PGP,24.2600002288818,24.1499996185303,4.6060996055603,24.1499996185303,24.3899993896484,20900,2005-10-19
SPXX,19.4300003051758,19.1000003814697,7.25023746490479,19.0200004577637,19.4300003051758,134300,2006-10-05
